,a,grammatical,b
0,Christopher fed the children the casserole.,1,Christopher fed the casserole to the children.
1,Michael fed the children the meal.,1,Michael fed the meal to the children.
2,Jessica served the guests the casserole.,1,Jessica served the casserole to the guests.
3,Jessica served the family the meal.,1,Jessica served the meal to the family.
4,John gave his wife a gift.,1,John gave a gift to his wife.
5,John gave the little boy a surprise.,1,John gave a surprise to the little boy.
6,John gave the family a puppy.,1,John gave a puppy to the family.
7,John gave his wife a book.,1,John gave a book to his wife.
8,John gave his wife a plate of food.,1,John gave a plate of food to his wife.
9,John left the little boy a gift.,1,John left a gift to the little boy.
10,John left his wife a surprise.,1,John left a surprise to his wife.
11,John left the little boy a puppy.,1,John left a puppy to the little boy.
12,John left the family a book.,1,John left a book to the family.
13,John left the little boy a plate of food.,1,John left a plate of food to the little boy.
14,John brought his wife a gift.,1,John brought a gift to his wife.
15,John brought his wife a surprise.,1,John brought a surprise to his wife.
16,John brought the family a puppy.,1,John brought a puppy to the family.
17,John brought the little boy a book.,1,John brought a book to the little boy.
18,John brought the little boy a plate of food.,1,John brought a plate of food to the little boy.
19,Jason passed the person across the table the salt.,1,Jason passed the salt to the person across the table.
20,Elizabeth passed the person across the table a letter.,1,Elizabeth passed a letter to the person across the table.
21,Michael sent the person across the table the salt.,1,Michael sent the salt to the person across the table.
22,Christopher sent the lawyer a letter.,1,Christopher sent a letter to the lawyer.
23,Nicole sold the mother a book.,1,Nicole sold a book to the mother.
24,Elizabeth sold the sales clerk a computer.,1,Elizabeth sold a computer to the sales clerk.
25,Michael sold the mother a car.,1,Michael sold a car to the mother.
26,Jessica traded the mother a book.,1,Jessica traded a book to the mother.
27,Jason traded the mother a computer.,1,Jason traded a computer to the mother.
28,Christopher traded the mother a car.,1,Christopher traded a car to the mother.
29,Elizabeth peddled the customer a book.,1,Elizabeth peddled a book to the customer.
30,Jason peddled the sales clerk a computer.,1,Jason peddled a computer to the sales clerk.
31,Elizabeth peddled the customer a car.,1,Elizabeth peddled a car to the customer.
32,Elizabeth offered the mother a book.,1,Elizabeth offered a book to the mother.
33,Jason offered the mother a computer.,1,Jason offered a computer to the mother.
34,Christopher offered the customer a car.,1,Christopher offered a car to the customer.
35,Michael rented the tenant a car.,1,Michael rented a car to the tenant.
36,Michael rented the defendant an apartment.,1,Michael rented an apartment to the defendant.
37,Jessica leased the tenant a car.,1,Jessica leased a car to the tenant.
38,Michael leased the tenant an apartment.,1,Michael leased an apartment to the tenant.
39,Nicole loaned the defendant a car.,1,Nicole loaned a car to the defendant.
40,Nicole loaned the tenant an apartment.,1,Nicole loaned an apartment to the tenant.
41,Christopher assigned the employee a project.,1,Christopher assigned a project to the employee.
42,Nicole assigned the student a gold star.,1,Nicole assigned a gold star to the student.
43,Michael assigned the employee a task.,1,Michael assigned a task to the employee.
44,Christopher awarded the employee a project.,1,Christopher awarded a project to the employee.
45,Jessica awarded the employee a gold star.,1,Jessica awarded a gold star to the employee.
46,Nicole awarded the student a task.,1,Nicole awarded a task to the student.
47,Elizabeth allotted the family lawyer a plot of land.,1,Elizabeth allotted a plot of land to the family lawyer.
48,Jason allotted the children the property.,1,Jason allotted the property to the children.
49,Nicole allotted the client the art collection.,1,Nicole allotted the art collection to the client.
50,Michael allotted the children the mansion.,1,Michael allotted the mansion to the children.
51,Jason bequeathed the family lawyer a plot of land.,1,Jason bequeathed a plot of land to the family lawyer.
52,Elizabeth bequeathed the client the property.,1,Elizabeth bequeathed the property to the client.
53,Christopher bequeathed the client the art collection.,1,Christopher bequeathed the art collection to the client.
54,Jessica bequeathed the family lawyer the mansion.,1,Jessica bequeathed the mansion to the family lawyer.
55,Jason ceded the client a plot of land.,1,Jason ceded a plot of land to the client.
56,Nicole ceded the client the property.,1,Nicole ceded the property to the client.
57,Jason ceded the client the art collection.,1,Jason ceded the art collection to the client.
58,Jason ceded the client the mansion.,1,Jason ceded the mansion to the client.
59,Nicole granted the children a plot of land.,1,Nicole granted a plot of land to the children.
60,Nicole granted the family lawyer the property.,1,Nicole granted the property to the family lawyer.
61,Jason granted the children the art collection.,1,Jason granted the art collection to the children.
62,Christopher granted the family lawyer the mansion.,1,Christopher granted the mansion to the family lawyer.
63,Jessica left the client a plot of land.,1,Jessica left a plot of land to the client.
64,Elizabeth left the family lawyer the property.,1,Elizabeth left the property to the family lawyer.
65,Christopher left the children the art collection.,1,Christopher left the art collection to the children.
66,Elizabeth left the family lawyer the mansion.,1,Elizabeth left the mansion to the family lawyer.
67,Jason promised the client a plot of land.,1,Jason promised a plot of land to the client.
68,Jessica promised the children the property.,1,Jessica promised the property to the children.
69,Jessica promised the client the art collection.,1,Jessica promised the art collection to the client.
70,Jessica promised the client the mansion.,1,Jessica promised the mansion to the client.
71,Michael willed the children a plot of land.,1,Michael willed a plot of land to the children.
72,Jessica willed the family lawyer the property.,1,Jessica willed the property to the family lawyer.
73,Michael willed the children the art collection.,1,Michael willed the art collection to the children.
74,Michael willed the children the mansion.,1,Michael willed the mansion to the children.
75,Elizabeth allocated the client a plot of land.,1,Elizabeth allocated a plot of land to the client.
76,Jason allocated the family lawyer the property.,1,Jason allocated the property to the family lawyer.
77,Jason allocated the family lawyer the art collection.,1,Jason allocated the art collection to the family lawyer.
78,Christopher allocated the client the mansion.,1,Christopher allocated the mansion to the client.
79,Michael forwarded the recipient a letter.,1,Michael forwarded a letter to the recipient.
80,Christopher forwarded the recipient a package.,1,Christopher forwarded a package to the recipient.
81,Jason forwarded the client an email.,1,Jason forwarded an email to the client.
82,Nicole mailed the recipient a letter.,1,Nicole mailed a letter to the recipient.
83,Nicole mailed the client a package.,1,Nicole mailed a package to the client.
84,Jason mailed the recipient an email.,1,Jason mailed an email to the recipient.
85,Michael shipped the client a letter.,1,Michael shipped a letter to the client.
86,Nicole shipped the client a package.,1,Nicole shipped a package to the client.
87,Jessica posted the recipient a letter.,1,Jessica posted a letter to the recipient.
88,Nicole posted the client a package.,1,Nicole posted a package to the client.
89,Jessica carried the new tenants a package.,1,Jessica carried a package to the new tenants.
90,Jason carried the family the sofa.,1,Jason carried the sofa to the family.
91,Christopher carried the new tenants the bags.,1,Christopher carried the bags to the new tenants.
92,Nicole schlepped the new tenants a package.,1,Nicole schlepped a package to the new tenants.
93,Jason schlepped the family the sofa.,1,Jason schlepped the sofa to the family.
94,Jessica schlepped the new tenants the bags.,1,Jessica schlepped the bags to the new tenants.
95,Jessica lugged the new tenants a package.,1,Jessica lugged a package to the new tenants.
96,Nicole lugged the family the sofa.,1,Nicole lugged the sofa to the family.
97,Jessica lugged the family the bags.,1,Jessica lugged the bags to the family.
98,Nicole dragged the family a package.,1,Nicole dragged a package to the family.
99,Nicole dragged the family the sofa.,1,Nicole dragged the sofa to the family.
100,Michael dragged the family the bags.,1,Michael dragged the bags to the family.
101,Christopher hauled the new tenants a package.,1,Christopher hauled a package to the new tenants.
102,Michael hauled the family the sofa.,1,Michael hauled the sofa to the family.
103,Michael hauled the family the bags.,1,Michael hauled the bags to the family.
104,Jessica chucked the other team the ball.,1,Jessica chucked the ball to the other team.
105,Jessica chucked the goalie the stick.,1,Jessica chucked the stick to the goalie.
106,Elizabeth chucked the goalie the frisbee.,1,Elizabeth chucked the frisbee to the goalie.
107,Jason flung the goalie the ball.,1,Jason flung the ball to the goalie.
108,Christopher flung the most valuable player the stick.,1,Christopher flung the stick to the most valuable player.
109,Jessica flung the other team the frisbee.,1,Jessica flung the frisbee to the other team.
110,Elizabeth tossed the other team the ball.,1,Elizabeth tossed the ball to the other team.
111,Elizabeth tossed the other team the stick.,1,Elizabeth tossed the stick to the other team.
112,Christopher tossed the other team the frisbee.,1,Christopher tossed the frisbee to the other team.
113,Elizabeth threw the other team the ball.,1,Elizabeth threw the ball to the other team.
114,Christopher threw the most valuable player the stick.,1,Christopher threw the stick to the most valuable player.
115,Jessica threw the goalie the frisbee.,1,Jessica threw the frisbee to the goalie.
116,Christopher tossed the most valuable player the ball.,1,Christopher tossed the ball to the most valuable player.
117,Jason tossed the goalie the stick.,1,Jason tossed the stick to the goalie.
118,Nicole tossed the other team the frisbee.,1,Nicole tossed the frisbee to the other team.
119,Jessica kicked the other team the ball.,1,Jessica kicked the ball to the other team.
120,Elizabeth kicked the most valuable player the stick.,1,Elizabeth kicked the stick to the most valuable player.
121,Jessica kicked the other team the frisbee.,1,Jessica kicked the frisbee to the other team.
122,Elizabeth read the class a story.,1,Elizabeth read a story to the class.
123,Christopher read the class a book.,1,Christopher read a book to the class.
124,Christopher told the little girl a secret.,1,Christopher told a secret to the little girl.
125,Jessica told the ambassador a story.,1,Jessica told a story to the ambassador.
126,Elizabeth taught the class a new technique.,1,Elizabeth taught a new technique to the class.
127,Michael taught the student a lesson.,1,Michael taught a lesson to the student.
128,Jessica showed the audience a photo.,1,Jessica showed a photo to the audience.
129,Jessica showed the attendees a new technique.,1,Jessica showed a new technique to the attendees.
130,Elizabeth addressed the recipient a letter.,1,Elizabeth addressed a letter to the recipient.
131,Christopher addressed the recipient a speech.,1,Christopher addressed a speech to the recipient.
132,Nicole recited the recipient a letter.,1,Nicole recited a letter to the recipient.
133,Jason recited the audience a speech.,1,Jason recited a speech to the audience.
134,Christopher explained the team the issue.,1,Christopher explained the issue to the team.
135,Jessica explained the mechanic the solution.,1,Jessica explained the solution to the mechanic.
136,Jessica illustrated the team the issue.,1,Jessica illustrated the issue to the team.
